id,user_id,product_id,subtotal,tax,total,discount,created_at,quantity
11,1,14,37.648145389078365,2.07,39.718145389078366,,2025-02-11 21:40:27.892,2
12,1,123,110.93145648834248,6.1,117.03145648834247,,2024-05-15 08:04:04.58,3
13,1,105,52.723521442619514,2.9,49.206842233769756,6.416679208849759,2025-12-06 22:22:48.544,2
14,1,94,109.21864156655383,6.01,115.22864156655383,,2025-08-22 16:30:42.392,6
15,1,132,127.88197029833711,7.03,134.9119702983371,,2024-10-10 03:34:47.309,5
16,1,60,29.80214751859149,1.64,31.44214751859149,,2025-11-06 16:38:50.134,3
17,1,55,95.77128575934437,5.27,101.04128575934436,,2024-09-11 11:22:26.521,5
18,1,65,68.22769726470014,3.75,63.32374433449318,8.653952930206964,2025-06-17 02:37:41.693,7
19,1,184,77.3982748679465,4.26,78.06353271268733,3.594742155259162,2023-05-03 16:00:54.923,3
20,1,6,97.43621265344382,5.36,102.79621265344382,,2026-01-17 01:44:37.233,2
21,1,76,63.82421061366486,3.51,67.33421061366487,,2024-07-22 20:31:01.969,6
22,3,7,148.22900526552291,10.19,158.4190052655229,,2024-06-26 23:21:13.271,7
23,3,70,57.493003808959784,3.95,59.325662775352285,2.1173410336074987,2025-04-06 01:04:43.973,2
24,3,139,51.18512212784679,3.52,54.70512212784679,,2023-05-25 20:50:37.137,4
25,3,116,114.42485125407785,7.87,122.29485125407786,,2024-06-26 02:24:38.715,5
26,3,68,76.82895921539838,5.28,82.10895921539839,,2023-12-14 11:28:30.031,1
27,3,48,123.20884248534108,8.47,131.67884248534108,,2026-02-06 12:14:36.282,1
28,3,12,116.01427581618326,7.98,123.99427581618326,,2026-04-10 23:29:46.804,2
29,3,136,105.20402317157343,7.23,112.43402317157343,,2025-02-14 07:28:31.104,1
30,3,160,47.59120561297272,3.27,41.38053439008438,9.480671222888349,2024-04-21 04:18:01.863,4
31,3,94,109.21864156655383,7.51,116.72864156655383,,2024-05-02 03:57:22.388,5
32,4,10,47.6793282102869,1.38,42.30667813984704,6.752650070439861,2025-12-12 21:32:01.533,1
33,4,85,54.90104734428525,1.59,56.491047344285256,,2025-06-02 11:33:15.096,5
34,4,14,37.648145389078365,1.09,38.73814538907837,,2025-09-20 17:28:38.643,6
35,4,97,112.41825444654248,3.26,115.67825444654248,,2025-12-21 12:23:13.696,2
36,5,40,99.66240044231697,3.99,103.65240044231696,,2024-06-20 02:18:00.254,5
